"A01";"Q03";"Q04";"Q04A";"Q05";"Q06A";"Q06B";"Q08";"Q08C";"Q09A1";"Q09B1";"Q10A1";"Q10B1";"Q19A";"B08A";"B08B";"pm17B"
39290;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"4";"6";"15";"2";"2";7,19783937013761e-05
31841;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"14";"4";"4";7,20072512411993e-05
39304;"2";"1";"1";"1";"2";"2";"1";"1";"1";"1";"6";"6";"15";"4";"3";7,20072512411993e-05
6252;"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"2";"8";"16";"4";"4";7,20711503150361e-05
6600;"1";"1";"1";"1";"1";"1";"2";"2";"1";"4";"6";"6";"14";"4";"4";7,20711503150361e-05
8511;"1";"2";"5";"1";"1";"1";"1";"2";"1";"3";"6";"8";"11";"1";"1";7,20711503150361e-05
8512;"1";"1";"2";"2";"1";"1";"1";"1";"1";"3";"3";"8";"14";"4";"3";7,20711503150361e-05
8657;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"6";"10";"4";"3";7,20711503150361e-05
8704;"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"2";"6";"15";"4";"3";7,20711503150361e-05
8707;"1";"1";"2";"2";"1";"1";"4";"2";"1";"1";"6";"6";"15";"2";"1";7,20711503150361e-05
10633;"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"7";"4";"NC";"1";"1";7,20711503150361e-05
14422;"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"4";"4";"NC";"4";"4";7,20711503150361e-05
16744;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"5";"NC";"4";"4";7,20711503150361e-05
16783;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"15";"4";"3";7,20711503150361e-05
19754;"1";"1";"1";"1";"1";"1";"1";"1";"5";"1";"8";"6";"10-";"4";"3";7,20711503150361e-05
27794;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"17";"4";"4";7,20711503150361e-05
30710;"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"6";"6";"14";"2";"2";7,20711503150361e-05
30714;"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"6";"6";"10-";"4";"3";7,20711503150361e-05
30726;"1";"1";"1";"1";"1";"1";"1";"2";"5";"1";"5";"6";"13";"1";"2";7,20711503150361e-05
17020;"1";"1";"1";"2";"1";"1";"1";"1";"1";"3";"6";"8";"16";"1";"2";7,21417095090287e-05
14526;"2";"1";"1";"1";"1";"2";"2";"2";"7";"3";"9";"8";"15";"1";"1";7,2190789118781e-05
39093;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"13";"5";"4";7,2190789118781e-05
42734;"2";"1";"1";"2";"1";"2";"1";"1";"5";"1";"8";"6";"14";"1";"1";7,2190789118781e-05
4634;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"14";"4";"3";7,21949792703754e-05
17787;"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"5";"6";"15";"5";"5";7,22572019189265e-05
31869;"2";"1";"1";"1";"1";"1";"1";"2";"7";"1";"9";"6";"13";"1";"1";7,2291044195471e-05
43203;"2";"1";"2";"2";"1";"2";"1";"2";"6";"1";"9";"6";"15";"2";"2";7,23200270178923e-05
8371;"1";"1";"3";"1";"1";"1";"4";"1";"1";"1";"4";"4";"11";"4";"4";7,2440215571749e-05
16806;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"6";"10-";"5";"4";7,2440215571749e-05
16877;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"14";"4";"3";7,2440215571749e-05
17866;"1";"1";"3";"1";"1";"1";"4";"2";"2";"1";"8";"6";"15";"4";"3";7,2440215571749e-05
17868;"1";"1";"1";"2";"1";"2";"1";"2";"1";"1";"7";"5";"16";"4";"4";7,2440215571749e-05
42309;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"15";"5";"5";7,2440215571749e-05
43674;"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"4";"4";"15";"5";"5";7,2440215571749e-05
44366;"1";"1";"2";"2";"1";"1";"1";"4";"7";"1";"9";"6";"15";"4";"4";7,2440215571749e-05
44463;"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"2";"6";"14";"3";"3";7,2440215571749e-05
44651;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"5";"12";"5";"5";7,2440215571749e-05
44674;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"5";"15";"2";"1";7,2440215571749e-05
41363;"1";"1";"1";"2";"2";"2";"1";"1";"4";"1";"8";"6";"11";"2";"2";7,24490551576433e-05
11209;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"10-";"4";"4";7,24517105757054e-05
11407;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"7";"10-";"1";"5";7,24517105757054e-05
11514;"1";"1";"2";"1";"1";"2";"1";"1";"1";"1";"7";"6";"15";"4";"4";7,24517105757054e-05
12241;"1";"1";"1";"2";"1";"1";"1";"1";"1";"2";"7";"8";"14";"2";"1";7,24517105757054e-05
17346;"1";"1";"3";"1";"1";"1";"2";"1";"1";"1";"4";"4";"15";"4";"4";7,24517105757054e-05
34053;"1";"1";"1";"1";"1";"1";"2";"1";"1";"1";"4";"5";"NC";"4";"4";7,24517105757054e-05
20079;"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"7";"6";"14";"3";"3";7,24649314060552e-05
41497;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"14";"4";"4";7,24649314060552e-05
41498;"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"7";"5";"16";"5";"1";7,24649314060552e-05
41514;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"6";"13";"5";"1";7,24649314060552e-05
41547;"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"7";"7";"14";"4";"4";7,24649314060552e-05
41553;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"14";"4";"3";7,24649314060552e-05
4644;"1";"2";"6";"1";"1";"2";"1";"2";"1";"1";"7";"6";"13";"5";"1";7,24795121125897e-05
7921;"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"7";"6";"12";"5";"4";7,24795121125897e-05
22813;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"7";"14";"2";"1";7,24795121125897e-05
22917;"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"7";"6";"15";"4";"5";7,24795121125897e-05
31214;"1";"1";"2";"1";"1";"1";"1";"1";"1";"3";"7";"8";"13";"4";"4";7,24795121125897e-05
17775;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"13";"4";"4";7,25710634781366e-05
6;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"5";"12";"3";"3";7,27131968027622e-05
39;"2";"1";"1";"2";"1";"1";"1";"1";"1";"3";"3";"9";"NC";"1";"1";7,27131968027622e-05
46;"2";"1";"1";"1";"1";"1";"1";"4";"7";"5";"9";"5";"15";"1";"4";7,27131968027622e-05
120;"2";"1";"1";"2";"2";"2";"1";"4";"7";"1";"9";"6";"14";"5";"3";7,27131968027622e-05
1595;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"16";"2";"2";7,27131968027622e-05
1609;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"7";"7";"16";"2";"2";7,27131968027622e-05
1611;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"4";"16";"5";"2";7,27131968027622e-05
2030;"2";"1";"3";"1";"1";"1";"4";"2";"5";"1";"5";"4";"16";"4";"4";7,27131968027622e-05
2038;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"15";"4";"4";7,27131968027622e-05
2041;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"7";"16";"5";"1";7,27131968027622e-05
3387;"2";"1";"2";"2";"2";"2";"1";"4";"7";"1";"9";"6";"NC";"2";"3";7,27131968027622e-05
3396;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"NC";"4";"4";7,27131968027622e-05
3401;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"NC";"1";"1";7,27131968027622e-05
3419;"2";"1";"1";"2";"1";"1";"2";"2";"1";"1";"4";"2";"14";"2";"2";7,27131968027622e-05
3427;"2";"1";"3";"1";"1";"1";"1";"1";"1";"3";"4";"8";"13";"5";"5";7,27131968027622e-05
3432;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"3";"2";7,27131968027622e-05
3441;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"2";"6";"15";"2";"2";7,27131968027622e-05
3445;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"5";"6";"11";"5";"5";7,27131968027622e-05
3449;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"NC";"2";"1";7,27131968027622e-05
3471;"2";"1";"1";"1";"1";"1";"1";"2";"1";"2";"4";"8";"13";"3";"3";7,27131968027622e-05
8024;"2";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"2";"15";"4";"1";7,27131968027622e-05
12226;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"17";"4";"3";7,27131968027622e-05
18323;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"12";"4";"3";7,27131968027622e-05
18326;"2";"1";"1";"1";"1";"1";"1";"4";"7";"1";"9";"6";"17";"2";"1";7,27131968027622e-05
18329;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"6";"6";"15";"5";"5";7,27131968027622e-05
18352;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"5";"5";"16";"5";"2";7,27131968027622e-05
18353;"2";"1";"1";"2";"1";"1";"1";"1";"1";"3";"2";"8";"15";"4";"4";7,27131968027622e-05
18357;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"10";"2";"1";7,27131968027622e-05
18464;"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"3";"8";"14";"4";"4";7,27131968027622e-05
18471;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"3";"11";"5";"5";7,27131968027622e-05
18473;"2";"1";"1";"1";"2";"1";"1";"1";"1";"1";"4";"4";"14";"3";"1";7,27131968027622e-05
18476;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"16";"4";"1";7,27131968027622e-05
18492;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"14";"2";"2";7,27131968027622e-05
18497;"2";"1";"1";"1";"1";"1";"2";"1";"4";"1";"8";"6";"17";"3";"3";7,27131968027622e-05
18500;"2";"1";"1";"1";"1";"1";"1";"2";"5";"5";"5";"4";"16";"5";"2";7,27131968027622e-05
19644;"2";"1";"1";"1";"1";"1";"1";"1";"2";"1";"8";"1";"13";"4";"4";7,27131968027622e-05
19645;"2";"1";"1";"1";"1";"1";"1";"5";"2";"1";"8";"5";"16";"4";"3";7,27131968027622e-05
19646;"2";"1";"1";"2";"2";"2";"2";"1";"1";"6";"7";"8";"NC";"2";"2";7,27131968027622e-05
19654;"2";"1";"1";"1";"1";"2";"2";"1";"1";"1";"4";"6";"16";"5";"5";7,27131968027622e-05
19659;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"5";"4";"15";"3";"4";7,27131968027622e-05
19675;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"16";"4";"4";7,27131968027622e-05
27427;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"4";"14";"1";"1";7,27131968027622e-05
27433;"2";"1";"1";"1";"1";"1";"1";"4";"7";"1";"9";"4";"15";"4";"3";7,27131968027622e-05
27436;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"16";"4";"4";7,27131968027622e-05
27440;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"16";"4";"5";7,27131968027622e-05
27443;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"4";"8";"14";"2";"2";7,27131968027622e-05
27445;"2";"1";"1";"2";"1";"1";"1";"2";"1";"2";"7";"8";"NC";"2";"1";7,27131968027622e-05
27461;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"15";"3";"3";7,27131968027622e-05
27464;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"4";"16";"4";"4";7,27131968027622e-05
27472;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"6";"17";"1";"1";7,27131968027622e-05
27478;"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"2";"3";"16";"5";"4";7,27131968027622e-05
27483;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"4";"6";"14";"3";"3";7,27131968027622e-05
27505;"2";"1";"1";"2";"1";"1";"1";"1";"4";"1";"8";"6";"16";"5";"4";7,27131968027622e-05
27518;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"17";"2";"2";7,27131968027622e-05
27520;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"NC";"3";"3";7,27131968027622e-05
27539;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"4";"15";"5";"5";7,27131968027622e-05
27550;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"6";"14";"4";"4";7,27131968027622e-05
27556;"2";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"5";"15";"2";"2";7,27131968027622e-05
27563;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"2";"15";"3";"3";7,27131968027622e-05
27577;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"15";"5";"4";7,27131968027622e-05
27584;"2";"1";"1";"1";"1";"1";"1";"4";"7";"1";"9";"6";"14";"1";"3";7,27131968027622e-05
27587;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"16";"4";"4";7,27131968027622e-05
27589;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"16";"3";"3";7,27131968027622e-05
36492;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"6";"16";"3";"3";7,27131968027622e-05
36498;"2";"1";"1";"1";"1";"1";"1";"1";"4";"1";"8";"6";"16";"4";"4";7,27131968027622e-05
36507;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"7";"15";"4";"4";7,27131968027622e-05
37157;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"NC";"4";"4";7,27131968027622e-05
37165;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"7";"8";"NC";"1";"1";7,27131968027622e-05
37181;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"4";"5";"14";"4";"4";7,27131968027622e-05
38422;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"2";"15";"2";"2";7,27131968027622e-05
38450;"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"3";"2";"17";"4";"4";7,27131968027622e-05
1506;"2";"1";"1";"1";"1";"1";"1";"2";"1";"3";"7";"8";"16";"2";"2";7,27237874799397e-05
1515;"2";"1";"1";"2";"1";"1";"1";"1";"1";"6";"6";"8";"NC";"1";"1";7,27237874799397e-05
1520;"2";"1";"3";"1";"1";"1";"1";"2";"1";"1";"3";"6";"16";"5";"4";7,27237874799397e-05
1529;"2";"1";"1";"1";"1";"1";"1";"2";"2";"1";"4";"6";"17";"5";"1";7,27237874799397e-05
1531;"2";"2";"4";"1";"1";"1";"1";"2";"1";"1";"7";"6";"13";"3";"2";7,27237874799397e-05
1534;"2";"1";"1";"2";"1";"2";"1";"2";"1";"1";"7";"7";"14";"3";"3";7,27237874799397e-05
2336;"2";"1";"3";"1";"1";"1";"4";"1";"1";"1";"4";"4";"16";"5";"3";7,27237874799397e-05
2339;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"13";"4";"3";7,27237874799397e-05
2340;"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"5";"5";"15";"4";"2";7,27237874799397e-05
2342;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"4";"NC";"5";"2";7,27237874799397e-05
2399;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"7";"8";"13";"1";"1";7,27237874799397e-05
2410;"2";"1";"1";"2";"2";"1";"1";"1";"2";"2";"8";"8";"NC";"3";"1";7,27237874799397e-05
2421;"2";"1";"1";"1";"1";"2";"1";"1";"1";"1";"7";"5";"16";"2";"1";7,27237874799397e-05
2428;"2";"1";"1";"1";"1";"1";"2";"1";"1";"1";"6";"6";"16";"4";"4";7,27237874799397e-05
25096;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"7";"16";"1";"1";7,27237874799397e-05
25100;"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"3";"3";"14";"1";"1";7,27237874799397e-05
25111;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"4";"15";"4";"3";7,27237874799397e-05
25118;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"6";"NC";"1";"1";7,27237874799397e-05
25126;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"2";"NC";"1";"2";7,27237874799397e-05
27873;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"16";"2";"2";7,27237874799397e-05
27874;"2";"1";"1";"1";"1";"1";"1";"1";"1";"2";"7";"8";"NC";"2";"1";7,27237874799397e-05
27884;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"7";"12";"4";"4";7,27237874799397e-05
27889;"2";"1";"1";"1";"1";"1";"1";"1";"1";"3";"7";"8";"16";"3";"3";7,27237874799397e-05
27894;"2";"1";"1";"1";"1";"2";"1";"1";"5";"1";"6";"6";"16";"5";"3";7,27237874799397e-05
27984;"2";"1";"1";"1";"2";"2";"1";"1";"2";"3";"8";"8";"15";"2";"1";7,27237874799397e-05
27987;"2";"1";"1";"2";"2";"3";"1";"1";"1";"1";"6";"6";"NC";"4";"4";7,27237874799397e-05
16878;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"5";"4";"14";"4";"1";7,27548720633696e-05
44538;"1";"2";"5";"2";"1";"2";"1";"2";"2";"1";"8";"3";"15";"4";"4";7,27548720633696e-05
22838;"1";"1";"1";"1";"1";"1";"1";"2";"5";"1";"8";"5";"10-";"2";"4";7,27637500241139e-05
22839;"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"7";"5";"14";"1";"1";7,27637500241139e-05
39983;"1";"1";"2";"2";"2";"1";"1";"2";"3";"3";"8";"8";"16";"3";"2";7,27637500241139e-05
41406;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"5";"10";"4";"4";7,27637500241139e-05
11395;"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"6";"12";"5";"5";7,27664169893593e-05
7994;"1";"1";"1";"2";"1";"1";"1";"2";"3";"1";"4";"6";"10-";"4";"5";7,2779695295163e-05
20094;"1";"1";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"14";"4";"4";7,2779695295163e-05
45190;"1";"1";"1";"2";"1";"2";"5";"4";"7";"7";"9";"9";"12";"1";"1";7,2779695295163e-05
24451;"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"7";"6";"10-";"5";"5";7,285880852102e-05
5544;"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"3";"6";"14";"4";"4";7,28742812257617e-05
15425;"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"5";"5";"15";"3";"3";7,28742812257617e-05
15435;"1";"1";"1";"1";"1";"1";"1";"2";"1";"4";"6";"8";"14";"5";"4";7,28742812257617e-05
37404;"1";"1";"1";"2";"1";"1";"1";"4";"7";"1";"9";"6";"16";"1";"3";7,28742812257617e-05
37433;"1";"1";"2";"1";"2";"1";"1";"2";"1";"1";"6";"6";"14";"3";"1";7,28742812257617e-05
42909;"1";"1";"1";"1";"1";"1";"2";"2";"1";"1";"4";"4";"15";"2";"2";7,29034979437613e-05
23673;"1";"1";"1";"1";"1";"1";"1";"2";"1";"3";"7";"8";"12";"3";"3";7,29387250140965e-05
23694;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"6";"15";"4";"2";7,29387250140965e-05
60;"2";"2";"5";"1";"1";"1";"1";"4";"7";"1";"9";"4";"15";"1";"4";7,30290390077873e-05
1623;"2";"1";"1";"2";"1";"2";"1";"2";"2";"1";"8";"5";"14";"2";"4";7,30290390077873e-05
1629;"2";"1";"1";"1";"1";"1";"2";"1";"2";"1";"8";"6";"15";"1";"3";7,30290390077873e-05
2059;"2";"1";"1";"2";"1";"1";"2";"2";"1";"2";"4";"8";"15";"1";"3";7,30290390077873e-05
3385;"2";"1";"2";"1";"1";"1";"1";"1";"1";"1";"6";"6";"14";"2";"2";7,30290390077873e-05
3397;"2";"1";"1";"1";"1";"2";"1";"2";"1";"1";"7";"6";"14";"3";"2";7,30290390077873e-05
3466;"2";"1";"1";"2";"1";"2";"1";"1";"1";"1";"7";"7";"13";"5";"5";7,30290390077873e-05
18494;"2";"1";"1";"1";"1";"1";"1";"1";"5";"1";"8";"6";"15";"4";"4";7,30290390077873e-05
19638;"2";"1";"1";"2";"1";"2";"3";"4";"7";"4";"9";"8";"14";"1";"1";7,30290390077873e-05
19680;"2";"1";"1";"2";"1";"1";"1";"2";"1";"1";"5";"4";"16";"1";"1";7,30290390077873e-05
27465;"2";"1";"1";"1";"1";"1";"1";"4";"7";"1";"9";"7";"14";"5";"1";7,30290390077873e-05
27549;"2";"1";"1";"1";"1";"1";"1";"2";"5";"3";"7";"8";"13";"4";"4";7,30290390077873e-05
27565;"2";"1";"1";"2";"1";"1";"1";"2";"1";"3";"7";"8";"15";"3";"1";7,30290390077873e-05
27574;"2";"1";"1";"2";"1";"1";"1";"2";"1";"3";"6";"8";"14";"4";"1";7,30290390077873e-05
27578;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"6";"15";"4";"4";7,30290390077873e-05
36496;"2";"1";"1";"2";"1";"1";"1";"2";"2";"1";"8";"7";"16";"1";"2";7,30290390077873e-05
37161;"2";"1";"1";"2";"2";"2";"1";"1";"1";"1";"6";"2";"NC";"4";"4";7,30290390077873e-05
38434;"2";"1";"1";"1";"1";"1";"1";"1";"1";"4";"4";"8";"14";"4";"4";7,30290390077873e-05
1512;"2";"2";"5";"2";"1";"1";"3";"2";"6";"3";"9";"8";"15";"5";"5";7,30396757000563e-05
1708;"2";"2";"5";"2";"1";"1";"1";"2";"1";"2";"7";"8";"15";"5";"4";7,30396757000563e-05
2352;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"3";"4";"13";"3";"1";7,30396757000563e-05
2979;"2";"1";"1";"2";"1";"1";"1";"2";"6";"1";"9";"5";"16";"5";"2";7,30396757000563e-05
27958;"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"6";"15";"1";"1";7,30396757000563e-05
3791;"2";"1";"1";"2";"1";"1";"1";"4";"7";"1";"9";"6";"10-";"1";"2";7,3189104239921e-05
4898;"2";"1";"1";"1";"1";"1";"1";"4";"1";"1";"3";"4";"14";"5";"4";7,3189104239921e-05
26108;"2";"1";"1";"1";"1";"1";"1";"2";"1";"1";"6";"6";"15";"4";"1";7,3189104239921e-05
23655;"1";"1";"2";"2";"1";"2";"1";"4";"7";"1";"9";"6";"12";"5";"5";7,32555469064655e-05
4062;"1";"1";"1";"1";"1";"1";"1";"2";"1";"2";"4";"8";"14";"2";"2";7,33405056117172e-05
12931;"1";"2";"7";"1";"1";"1";"1";"1";"1";"1";"2";"5";"NC";"3";"1";7,33405056117172e-05
12940;"1";"1";"2";"2";"1";"1";"1";"1";"1";"3";"3";"8";"17";"1";"1";7,33405056117172e-05
12948;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"5";"17";"2";"2";7,33405056117172e-05
12951;"1";"1";"1";"2";"3";"2";"1";"1";"1";"3";"6";"8";"NC";"1";"2";7,33405056117172e-05
12952;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"4";"10";"4";"4";7,33405056117172e-05
12962;"1";"1";"1";"2";"1";"2";"1";"1";"1";"3";"5";"8";"NC";"1";"1";7,33405056117172e-05
13424;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"13";"2";"2";7,33405056117172e-05
13444;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"6";"14";"4";"4";7,33405056117172e-05
17779;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"7";"4";"10-";"5";"2";7,33405056117172e-05
17791;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"15";"3";"3";7,33405056117172e-05
17793;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"6";"14";"4";"3";7,33405056117172e-05
17796;"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"6";"6";"NC";"4";"4";7,33405056117172e-05
17802;"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"6";"4";"17";"1";"1";7,33405056117172e-05
17816;"1";"1";"1";"2";"1";"1";"1";"1";"1";"1";"2";"6";"16";"1";"1";7,33405056117172e-05
18373;"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"7";"6";"15";"1";"1";7,33405056117172e-05
18376;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"4";"6";"14";"1";"3";7,33405056117172e-05
18382;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"17";"1";"2";7,33405056117172e-05
18390;"1";"1";"1";"1";"2";"1";"2";"1";"1";"1";"1";"2";"10";"2";"2";7,33405056117172e-05
18397;"1";"1";"1";"1";"1";"1";"1";"2";"1";"4";"6";"8";"NC";"1";"5";7,33405056117172e-05
18402;"1";"1";"2";"2";"1";"2";"1";"1";"1";"1";"6";"6";"14";"5";"1";7,33405056117172e-05
21725;"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"4";"4";7,33405056117172e-05
44217;"1";"1";"1";"1";"1";"2";"1";"1";"1";"3";"1";"8";"15";"2";"2";7,33405056117172e-05
44225;"1";"1";"1";"1";"1";"2";"1";"2";"1";"1";"7";"7";"NC";"2";"1";7,33405056117172e-05
6278;"1";"1";"1";"1";"1";"1";"1";"1";"1";"3";"4";"8";"16";"5";"5";7,35262629794849e-05
6280;"1";"1";"1";"1";"1";"1";"2";"2";"1";"5";"3";"8";"10-";"1";"1";7,35262629794849e-05
16772;"1";"1";"1";"2";"1";"1";"2";"1";"1";"1";"5";"6";"16";"4";"4";7,35262629794849e-05
16866;"1";"1";"1";"2";"1";"1";"1";"2";"1";"1";"6";"6";"15";"4";"1";7,35262629794849e-05
16870;"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"6";"15";"5";"2";7,35262629794849e-05
16871;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"NC";"2";"1";7,35262629794849e-05
16876;"1";"1";"3";"1";"1";"1";"1";"2";"1";"1";"2";"2";"15";"1";"3";7,35262629794849e-05
17883;"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"6";"6";"NC";"4";"2";7,35262629794849e-05
17903;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"NC";"1";"1";7,35262629794849e-05
17910;"1";"1";"1";"1";"1";"1";"1";"2";"1";"1";"2";"4";"16";"2";"2";7,35262629794849e-05
17915;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"16";"2";"2";7,35262629794849e-05
